Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,Sentiment_Score_transformed,Return,Backward_Volatility,Forward_Volatility,Sentiment_lag_1,Sentiment_lag_2,Sentiment_lag_3,Sentiment_lag_4,Sentiment_lag_5,Response,Response_lag_1,Response_lag_2,Response_lag_3,Response_lag_4,Response_lag_5,Sum_of_lagged_response
2021-09-30,143.6600037,144.3800049,141.2799988,141.5,140.4784851,89056700,AAPL,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-10-01,141.8999939,142.9199982,139.1100006,142.6499939,141.620163,94639600,AAPL,0.0,0.008127165371024647,,0.015492605633066085,0.0,0.0,0.0,0.0,0.0,0,,,,,,
2021-10-04,141.7599945,142.2100067,138.2700043,139.1399994,138.1355133,98322000,AAPL,0.0,-0.024605640729718936,,0.015285821693508785,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
2021-10-05,139.4900055,142.2400055,139.3600006,141.1100006,140.0912781,80861100,AAPL,0.0,0.014158410295350476,,0.0069516276837698196,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,
2021-10-06,139.4700012,142.1499939,138.3699951,142.0,140.9748688,83221100,AAPL,0.0,0.006307131997843607,,0.0072672505227190124,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,
2021-10-07,143.0599976,144.2200012,142.7200012,143.2899933,142.2555542,61732700,AAPL,0.0,0.009084459859154848,,0.0067005870637725186,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,,
2021-10-08,144.0299988,144.1799927,142.5599976,142.8999939,141.8683624,58773200,AAPL,0.0,-0.0027217490280948553,0.015492605633066087,0.011349317823623107,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
2021-10-11,142.2700043,144.8099976,141.8099976,142.8099976,141.779007,64452200,AAPL,0.2530590891838074,-0.0006297851913343866,0.015285821693508787,0.01149842114649714,0.2530590891838074,0.2530590891838074,0.2530590891838074,0.2530590891838074,0.2530590891838074,1,0,1,0,0,0,1
2021-10-12,143.2299957,143.25,141.0399933,141.5099945,140.4884033,73035900,AAPL,0.0,-0.009103025851461832,0.00695162768376982,0.011920977888855712,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,2
2021-10-13,141.2400055,141.3999939,139.1999969,140.9100037,139.892746,78762700,AAPL,0.0,-0.0042399181917853745,0.007267250522719014,0.009254271618277193,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,2
2021-10-14,142.1100006,143.8800049,141.5099945,143.7599945,142.722168,69907100,AAPL,0.5355488061904907,0.020225610142397654,0.006700587063772519,0.0065410509124889295,0.5355488061904907,0.5355488061904907,0.5355488061904907,0.5355488061904907,0.5355488061904907,0,0,0,1,0,1,2
2021-10-15,143.7700043,144.8999939,143.5099945,144.8399963,143.7943573,67940300,AAPL,0.0,0.0075125336763977035,0.011349317823623107,0.0056754714994550004,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1
2021-10-18,143.4499969,146.8399963,143.1600037,146.5500031,145.4920197,85589200,AAPL,0.0,0.0118061781530161,0.01149842114649714,0.008191752477935814,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2
2021-10-19,147.0099945,149.1699982,146.5500031,148.7599945,147.6860809,76378900,AAPL,0.29143333435058594,0.015080118411816112,0.011920977888855712,0.007550826517926159,0.29143333435058594,0.29143333435058594,0.29143333435058594,0.29143333435058594,0.29143333435058594,1,1,1,0,0,0,2
2021-10-20,148.6999969,149.75,148.1199951,149.2599945,148.1824646,58418800,AAPL,0.0,0.003361118704531707,0.009254271618277191,0.0038591416533578105,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,3
2021-10-21,148.8099976,149.6399994,147.8699951,149.4799957,148.4008789,61421000,AAPL,0.0,0.0014739461885748817,0.006541050912488928,0.003859188937433822,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,4
2021-10-22,149.6900024,150.1799927,148.6399994,148.6900024,147.6165771,58883400,AAPL,0.0,-0.005284943288234145,0.005675471499454998,0.012216308847602182,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,4
2021-10-25,148.6799927,149.3699951,147.6199951,148.6399994,147.5669403,50720600,AAPL,0.0,-0.00033629026291548403,0.008191752477935813,0.01559318742671207,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,1,3
2021-10-26,149.3300018,150.8399963,149.0099945,149.3200073,148.2420197,60893400,AAPL,0.0,0.00457486479241731,0.007550826517926157,0.015930137053156233,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,1,3
2021-10-27,149.3600006,149.7299957,148.4900055,148.8500061,147.7754211,56094900,AAPL,0.0,-0.003147610347056129,0.003859141653357807,0.0161306697841981,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,2
2021-10-28,149.8200073,153.1699982,149.7200012,152.5700073,151.4685669,100077900,AAPL,0.0,0.024991609321808328,0.0038591889374338184,0.016328406368027973,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1
2021-10-29,147.2200012,149.9400024,146.4100037,149.8000031,148.7185669,124953200,AAPL,0.0,-0.01815562736752907,0.01221630884760218,0.01116411928794238,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,2
2021-11-01,148.9900055,149.6999969,147.8000031,148.9600067,147.8846436,74588300,AAPL,0.0,-0.00560745248742911,0.01559318742671207,0.006616532579528294,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,2
2021-11-02,148.6600037,151.5700073,148.6499939,150.0200043,148.9369812,69122000,AAPL,0.0,0.007115987864680928,0.015930137053156233,0.006600820491688406,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,2
2021-11-03,150.3899994,151.9700012,149.8200073,151.4900055,150.3963623,54511500,AAPL,0.0,0.00979870122560711,0.0161306697841981,0.0059990230901626005,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,2
2021-11-04,151.5800018,152.4299927,150.6399994,150.9600067,149.8701935,60394600,AAPL,0.0,-0.0034985727160725677,0.016328406368027973,0.008790849202519565,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,3
2021-11-05,151.8899994,152.1999969,150.0599976,151.2799988,150.407074,65463900,AAPL,0.0,0.002119714399827055,0.01116411928794238,0.0090121101922148,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,2
