Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
9/30/2021,143.6600037,144.3800049,141.2799988,141.5,140.4784851,89056700,AAPL
10/1/2021,141.8999939,142.9199982,139.1100006,142.6499939,141.620163,94639600,AAPL
10/4/2021,141.7599945,142.2100067,138.2700043,139.1399994,138.1355133,98322000,AAPL
10/5/2021,139.4900055,142.2400055,139.3600006,141.1100006,140.0912781,80861100,AAPL
10/6/2021,139.4700012,142.1499939,138.3699951,142,140.9748688,83221100,AAPL
10/7/2021,143.0599976,144.2200012,142.7200012,143.2899933,142.2555542,61732700,AAPL
10/8/2021,144.0299988,144.1799927,142.5599976,142.8999939,141.8683624,58773200,AAPL
10/11/2021,142.2700043,144.8099976,141.8099976,142.8099976,141.779007,64452200,AAPL
10/12/2021,143.2299957,143.25,141.0399933,141.5099945,140.4884033,73035900,AAPL
10/13/2021,141.2400055,141.3999939,139.1999969,140.9100037,139.892746,78762700,AAPL
10/14/2021,142.1100006,143.8800049,141.5099945,143.7599945,142.722168,69907100,AAPL
10/15/2021,143.7700043,144.8999939,143.5099945,144.8399963,143.7943573,67940300,AAPL
10/18/2021,143.4499969,146.8399963,143.1600037,146.5500031,145.4920197,85589200,AAPL
10/19/2021,147.0099945,149.1699982,146.5500031,148.7599945,147.6860809,76378900,AAPL
10/20/2021,148.6999969,149.75,148.1199951,149.2599945,148.1824646,58418800,AAPL
10/21/2021,148.8099976,149.6399994,147.8699951,149.4799957,148.4008789,61421000,AAPL
10/22/2021,149.6900024,150.1799927,148.6399994,148.6900024,147.6165771,58883400,AAPL
10/25/2021,148.6799927,149.3699951,147.6199951,148.6399994,147.5669403,50720600,AAPL
10/26/2021,149.3300018,150.8399963,149.0099945,149.3200073,148.2420197,60893400,AAPL
10/27/2021,149.3600006,149.7299957,148.4900055,148.8500061,147.7754211,56094900,AAPL
10/28/2021,149.8200073,153.1699982,149.7200012,152.5700073,151.4685669,100077900,AAPL
10/29/2021,147.2200012,149.9400024,146.4100037,149.8000031,148.7185669,124953200,AAPL
11/1/2021,148.9900055,149.6999969,147.8000031,148.9600067,147.8846436,74588300,AAPL
11/2/2021,148.6600037,151.5700073,148.6499939,150.0200043,148.9369812,69122000,AAPL
11/3/2021,150.3899994,151.9700012,149.8200073,151.4900055,150.3963623,54511500,AAPL
11/4/2021,151.5800018,152.4299927,150.6399994,150.9600067,149.8701935,60394600,AAPL
11/5/2021,151.8899994,152.1999969,150.0599976,151.2799988,150.407074,65463900,AAPL
11/8/2021,151.4100037,151.5700073,150.1600037,150.4400024,149.5719147,55020900,AAPL
